date,gld_price_lkr,gold_price_usd,silver_price,s&p_500,ny_stock_ex_rate,selling_exchange_rates
1/1/2020,275391,1552,18,3229,13907,183.154
2/1/2020,275111,1525,18,3258,14002,182.9138
3/1/2020,279285,1549,18,3235,13917,183.084
6/1/2020,285968,1566,18,3246,13942,183.0439
7/1/2020,282549,1572,18,3237,13898,183.054
8/1/2020,288445,1557,18,3253,13934,183.0439
9/1/2020,282928,1552,18,3275,13998,183.3546
10/1/2020,,1558,18,3265,13958,
13/01/2020,282456,1548,18,3288,14043,183.0839
14/01/2020,278954,1542,18,3283,14037,183.2342
15/01/2020,,1552,18,3289,14053,
16/01/2020,282651,1549,18,3317,14142,183.2642
17/01/2020,281880,1559,18,3330,14183,183.0438
20/01/2020,282471,1565,18,3301,14092,183.0438
21/01/2020,284043,1556,18,3321,14110,183.0639
22/01/2020,281621,1555,18,3322,14110,183.1766
23/01/2020,282570,1565,18,3326,14102,183.2267
24/01/2020,283296,1571,18,3295,13978,183.2769
27/01/2020,287017,1577,18,3244,13770,183.3169
28/01/2020,287136,1569,17,3276,13878,183.347
29/01/2020,284198,1570,17,3273,13844,183.3369
30/01/2020,286849,1584,18,3284,13862,183.3067
31/01/2020,285448,1583,18,3226,13614,183.3068
3/2/2020,287157,1577,18,3249,13678,183.2467
4/2/2020,,1550,18,3298,13863,
5/2/2020,282201,1558,18,3335,14025,183.2667
6/2/2020,282095,1565,18,3346,14035,183.2166
7/2/2020,284043,1569,18,3328,13932,183.1965
10/2/2020,284811,1575,18,3352,13984,183.2267
11/2/2020,284588,1566,18,3358,14054,183.2066
12/2/2020,284378,1567,17,3379,14137,183.2267
13/02/2020,284898,1575,18,3374,14099,183.2466
14/02/2020,285944,1583,18,3380,14097,183.2366
17/02/2020,287175,1623,18,3369,14074,183.2668
18/02/2020,287971,1600,18,3370,14039,183.3269
19/02/2020,290861,1608,18,3386,14087,183.3971
20/02/2020,292810,1617,18,3373,14061,183.6877
21/02/2020,,1645,19,3338,13976,
24/02/2020,302236,1672,19,3226,13534,183.407
25/02/2020,301022,1647,18,3128,13144,183.4972
26/02/2020,298398,1640,18,3116,13047,183.4872
27/02/2020,299902,1640,18,2979,12547,183.4971
28/02/2020,298654,1564,16,2954,12381,183.6374
2/3/2020,290497,1592,17,3090,12828,183.6774
3/3/2020,290981,1642,17,3003,12543,183.8278
4/3/2020,299513,1641,17,3130,13010,183.8779
5/3/2020,298367,1666,17,3024,12593,183.8477
6/3/2020,303817,1671,17,2972,12352,183.6875
9/3/2020,,1675,17,2747,11298,
10/3/2020,303462,1659,17,2882,11793,183.7676
11/3/2020,302242,1641,17,2741,11177,184.3288
12/3/2020,298560,1589,16,2481,10061,184.3588
13/03/2020,285704,1516,14,2711,10852,185.0899
16/03/2020,,1486,13,2386,9568,
17/03/2020,273661,1525,12,2529,10063,186.6635
18/03/2020,283550,1477,12,2398,9385,187.2339
19/03/2020,274185,1479,12,2409,9461,188.2057
20/03/2020,277305,1484,12,2305,9133,189.8775
23/03/2020,279400,1567,13,2237,8777,
24/03/2020,294506,1660,14,2447,9658,190.6188
25/03/2020,305811,1632,15,2476,9961,
26/03/2020,303240,1650,15,2630,10536,
27/03/2020,307664,1624,15,2541,10187,191.9902
30/03/2020,308144,1622,14,2627,10435,192.5025
31/03/2020,305140,1583,14,2585,10302,192.453
1/4/2020,300778,1578,14,2471,9845,192.653
2/4/2020,301405,1626,15,2527,10062,192.803
3/4/2020,307930,1634,14,2489,9881,193.753
6/4/2020,315495,1677,15,2664,10515,199.4042
7/4/2020,,1665,15,2659,10537,
8/4/2020,327249,1665,15,2750,10903,200.4652
9/4/2020,329178,1736,16,2790,11137,200.474
10/4/2020,,1738,15,2670,10594,
13/04/2020,,1745,15,2762,10950,
14/04/2020,,1757,16,2846,11172,
15/04/2020,332167,1727,15,2783,10844,195.7834
16/04/2020,328802,1720,16,2800,10818,195.5796
17/04/2020,329432,1689,15,2875,11208,195.4796
20/04/2020,322211,1702,16,2823,11004,196.6534
21/04/2020,329375,1678,15,2737,10706,197.2168
22/04/2020,325065,1729,15,2799,10909,197.85
23/04/2020,329659,1733,15,2798,10917,198.2
24/04/2020,330819,1724,15,2837,11018,197.6483
27/04/2020,330675,1712,15,2878,11265,196.07
28/04/2020,327834,1711,15,2863,11320,196.05
29/04/2020,329852,1703,15,2940,11618,195.89
30/04/2020,329935,1684,15,2912,11372,195.82
1/5/2020,,1695,15,2831,11059,
4/5/2020,325946,1707,15,2843,11056,194.1158
5/5/2020,323078,1704,15,2868,11135,191.71
6/5/2020,321909,1684,15,2848,11000,191.5
7/5/2020,,1722,16,2881,11122,
8/5/2020,,1710,16,2930,11354,
11/5/2020,321794,1695,16,2930,11281,190.16
12/5/2020,319192,1704,16,2870,11056,190.12
13/05/2020,320922,1714,16,2820,10829,190.34
14/05/2020,322608,1738,16,2853,10927,190.34
15/05/2020,325798,1753,17,2864,10947,189.99
18/05/2020,331130,1732,17,2954,11402,189.94
19/05/2020,326418,1744,18,2923,11249,189.73
20/05/2020,328111,1751,18,2972,11420,189.6
21/05/2020,326725,1721,17,2949,11352,189.25
22/05/2020,322632,1735,18,2955,11332,188.81
25/05/2020,,1717,18,2950,11351,
26/05/2020,321499,1705,18,2992,11603,188.06
27/05/2020,318388,1710,18,3036,11838,188.4
28/05/2020,319136,1713,18,3030,11805,188.61
29/05/2020,320438,1737,18,3044,11803,188.62
1/6/2020,323779,1738,19,3056,11900,188.61
2/6/2020,323772,1725,18,3081,12046,188.42
3/6/2020,320945,1698,18,3123,12302,188.27
4/6/2020,316738,1719,18,3112,12287,188.07
5/6/2020,,1676,17,3194,12641,
8/6/2020,312996,1698,18,3232,12837,187.86
9/6/2020,314088,1715,18,3207,12620,187.6
10/6/2020,317879,1713,18,3190,12449,187.5
11/6/2020,320732,1732,18,3002,11659,187.55
12/6/2020,319554,1729,17,3041,11867,187.64
15/06/2020,320777,1720,17,3067,11943,187.74
16/06/2020,321341,1730,18,3125,12161,188.22
17/06/2020,320746,1729,18,3113,12086,188.41
18/06/2020,321892,1725,17,3115,12073,188.72
19/06/2020,322064,1746,18,3098,11980,188.78
22/06/2020,327483,1757,18,3118,12029,188.8
23/06/2020,326796,1772,18,3131,12078,188.82
24/06/2020,330195,1766,18,3050,11727,188.8
25/06/2020,328619,1762,18,3084,11865,188.83
26/06/2020,328481,1773,18,3009,11604,188.46
29/06/2020,329046,1775,18,3053,11777,188.48
30/06/2020,329888,1793,19,3100,11894,188.51
1/7/2020,331817,1773,18,3116,11902,188.49
2/7/2020,329585,1784,18,3130,11992,188.41
3/7/2020,330503,1802,18,3082,11834,188.38
6/7/2020,329731,1789,19,3180,12160,188.18
7/7/2020,331613,1804,19,3145,11990,188.13
8/7/2020,333331,1816,19,3170,12086,188.15
9/7/2020,336177,1799,19,3152,11929,188.08
10/7/2020,334637,1798,19,3185,12076,188.1
13/07/2020,335314,1811,20,3155,12015,188.1
14/07/2020,334202,1811,19,3198,12015,188.12
15/07/2020,336213,1811,20,3227,12391,188.13
16/07/2020,336114,1799,20,3216,12350,188.14
17/07/2020,334208,1808,20,3225,12403,188.09
20/07/2020,335783,1816,20,3252,12393,188.08
21/07/2020,337488,1842,22,3257,12509,188.03
22/07/2020,345313,1864,23,3276,12569,188.04
23/07/2020,346621,1889,23,3236,12511,188.04
24/07/2020,350082,1897,23,3216,12462,188.02
27/07/2020,356935,1931,24,3239,12553,188.02
28/07/2020,367184,1945,24,3218,12491,188.01
29/07/2020,362747,1954,24,3258,12670,188
30/07/2020,364650,1942,23,3246,12533,187.95
31/07/2020,365355,1963,24,3271,12465,187.86
3/8/2020,,1966,24,3295,12537,
4/8/2020,366878,2001,26,3307,12612,187.85
5/8/2020,373601,2031,27,3328,12732,187.76
6/8/2020,378309,2052,28,3349,12729,187.73
7/8/2020,382997,2010,28,3351,12766,187.63
10/8/2020,376263,2024,29,3360,12844,187.48
11/8/2020,373221,1933,26,3334,12849,186.86
12/8/2020,347884,1935,26,3380,12975,186.14
13/08/2020,355294,1957,28,3373,12919,185.04
14/08/2020,356622,1937,26,3373,12903,185.07
17/08/2020,354823,1985,28,3382,12936,185.45
18/08/2020,365571,1999,28,3390,12910,185.79
19/08/2020,367034,1959,27,3375,12860,186.44
20/08/2020,359550,1934,27,3386,12813,188.48
21/08/2020,362098,1935,27,3397,12809,186.79
24/08/2020,356025,1928,27,3431,12973,186.72
25/08/2020,357436,1912,26,3444,13002,187.25
26/08/2020,359077,1941,27,3479,13043,188.53
27/08/2020,362176,1922,27,3485,13069,188.48
28/08/2020,360307,1965,28,3508,13171,188.18
31/08/2020,366956,1968,28,3500,13046,188.49
1/9/2020,,1968,28,3527,13114,
2/9/2020,365897,1934,27,3581,13277,188.13
3/9/2020,361497,1928,27,3455,12966,187.47
4/9/2020,359289,1924,27,3427,12966,187.44
7/9/2020,359017,1944,28,3498,13074,187.3
8/9/2020,355980,1933,27,3332,12688,186.84
9/9/2020,355513,1945,27,3399,12886,186.5
10/9/2020,358691,1954,27,3339,12707,186.56
11/9/2020,359424,1938,27,3341,12773,186.82
14/09/2020,359767,1953,27,3384,12933,186.61
15/09/2020,361951,1956,27,3401,12967,186.54
16/09/2020,361131,1960,27,3385,12998,186.61
17/09/2020,360235,1940,27,3357,12948,187.12
18/09/2020,361065,1952,27,3319,12834,187.18
21/09/2020,362202,1901,24,3281,12834,187.58
22/09/2020,354122,1899,24,3316,12603,187.54
23/09/2020,352531,1860,23,3237,12359,187.33
24/09/2020,344694,1868,23,3247,12366,187.13
25/09/2020,345307,1858,23,3298,12485,187.3
28/09/2020,344623,1873,24,3352,12678,187.4
29/09/2020,349517,1894,24,3335,12603,187.5
30/09/2020,351690,1888,23,3363,12702,187.32
1/10/2020,,1908,24,3381,12727,
2/10/2020,350942,1900,24,3348,12750,187.21
5/10/2020,350354,1913,25,3409,12950,186.75
6/10/2020,352998,1901,24,3361,12838,186.81
7/10/2020,347325,1884,24,3419,13042,186.75
8/10/2020,348061,1889,24,3447,13191,186.49
9/10/2020,351054,1920,25,3477,13253,186.34
12/10/2020,354777,1923,25,3534,13325,186.35
13/10/2020,352300,1889,24,3512,13212,186.35
14/10/2020,348900,1901,24,3489,13143,186.46
15/10/2020,350299,1903,24,3483,13137,186.88
16/10/2020,352266,1901,24,3484,13169,186.7
19/10/2020,350429,1906,25,3427,13019,186.42
20/10/2020,350178,1910,25,3443,13092,186.48
21/10/2020,353882,1925,25,3436,13040,186.66
22/10/2020,352743,1901,25,3453,13146,186.44
23/10/2020,351277,1902,25,3465,13200,186.49
26/10/2020,350615,1903,24,3401,12936,186.4
27/10/2020,351998,1909,25,3391,12818,186.46
28/10/2020,351448,1876,23,3271,12415,186.46
29/10/2020,346177,1866,23,3310,12502,186.45
30/10/2020,,1877,24,3270,12429,
2/11/2020,346729,1890,24,3310,12662,186.44
3/11/2020,349605,1909,24,3369,12877,186.61
4/11/2020,349079,1895,24,3443,12979,186.55
5/11/2020,351550,1945,25,3510,13199,186.57
6/11/2020,358166,1950,26,3509,13219,186.63
9/11/2020,360729,1853,24,3551,13612,186.64
10/11/2020,346221,1875,24,3546,13708,186.66
11/11/2020,347060,1861,24,3573,13725,186.65
12/11/2020,344995,1873,24,3537,13551,186.7
13/11/2020,346823,1886,25,3585,13761,186.7
16/11/2020,350141,1887,25,3627,13982,186.8
17/11/2020,349696,1885,25,3610,13949,187.31
18/11/2020,347508,1874,24,3568,13809,187.32
19/11/2020,346081,1861,24,3582,13863,186.83
20/11/2020,344095,1873,24,3558,13827,187.11
23/11/2020,346493,1838,24,3578,13998,187.53
24/11/2020,338752,1805,23,3635,14250,187.39
25/11/2020,335602,1806,23,3630,14192,187.76
26/11/2020,335906,1801,24,3596,14026,187.78
27/11/2020,335172,1782,23,3638,14199,187.24
30/11/2020,329385,1776,23,3622,14006,187.55
1/12/2020,331030,1814,24,3662,14147,187.88
2/12/2020,336531,1826,24,3669,14188,187.99
3/12/2020,341607,1837,24,3667,14217,188.66
4/12/2020,343381,1836,24,3699,14417,188.3
7/12/2020,341027,1862,25,3692,14355,188.19
8/12/2020,347420,1871,25,3702,14402,188.52
9/12/2020,347670,1835,24,3673,14374,188.54
10/12/2020,342386,1834,24,3668,14394,188.06
11/12/2020,341764,1840,24,3663,14355,188.14
14/12/2020,341727,1829,24,3647,14215,188.97
15/12/2020,342145,1852,25,3695,14402,189.52
16/12/2020,348446,1856,25,3701,14409,189.83
17/12/2020,350395,1887,26,3722,14517,190.53
18/12/2020,353176,1886,26,3709,14468,190.13
21/12/2020,356078,1879,26,3695,14379,190.37
22/12/2020,353068,1867,25,3687,14321,191.2
23/12/2020,352740,1875,26,3690,14399,193.05
24/12/2020,357381,1880,26,3703,14383,194.66
25/12/2020,,1886,26,3697,14390,
28/12/2020,361073,1877,26,3735,14406,192.1
29/12/2020,,1880,26,3727,14398,
30/12/2020,353922,1891,26,3732,14477,190.02
31/12/2020,353597,1893,26,3756,14525,189.18
1/1/2021,352000,1928,26,3729,14439,189.8
4/1/2021,355431,1945,27,3701,14377,189.88
5/1/2021,358687,1953,28,3727,14537,191.9
6/1/2021,360409,1907,27,3748,14789,191.96
7/1/2021,354598,1912,27,3804,14929,191.77
8/1/2021,354554,1834,25,3825,14967,190.98
11/1/2021,343761,1850,25,3800,14938,192.47
12/1/2021,345659,1843,25,3801,15010,193.65
13/01/2021,348063,1854,26,3810,14984,194.07
14/01/2021,,1850,26,3796,15044,
15/01/2021,353899,1829,25,3768,14894,196.05
18/01/2021,352373,1855,25,3795,14974,196.0262
19/01/2021,356383,1840,25,3799,14987,196.05
20/01/2021,359977,1866,26,3852,15097,198.2647
21/01/2021,364045,1865,26,3853,15019,197.68
22/01/2021,366220,1856,26,3841,14952,199.1875
25/01/2021,365157,1855,25,3855,14935,199.65
26/01/2021,364577,1851,26,3850,14867,198.8
27/01/2021,361386,1845,25,3751,14488,198.2435
28/01/2021,,1838,26,3787,14670,
29/01/2021,358337,1847,27,3714,14397,194.4435
1/2/2021,354644,1861,29,3774,14596,193.17
2/2/2021,358624,1831,26,3826,14769,195.5
3/2/2021,357802,1832,27,3830,14839,197.62
4/2/2021,,1789,26,3872,14975,
5/2/2021,349278,1811,27,3887,15070,196.03
8/2/2021,350905,1832,28,3916,15227,196.5069
9/2/2021,357705,1835,27,3911,15244,196.81
10/2/2021,357392,1841,27,3910,15274,197.45
11/2/2021,357305,1825,27,3916,15297,198.668
12/2/2021,354528,1822,27,3935,15370,196.3655
15/02/2021,354017,1782,27,3918,15282,197.03
16/02/2021,354026,1797,27,3933,15423,197.9775
17/02/2021,349422,1771,27,3931,15403,198.9485
18/02/2021,347241,1773,27,3914,15291,198.3847
19/02/2021,344426,1776,27,3907,15363,198.58
22/02/2021,347927,1807,28,3877,15340,197.53
23/02/2021,352291,1804,28,3881,15359,195.93
24/02/2021,351890,1796,28,3925,15539,196.4
25/02/2021,349240,1774,28,3829,15207,196.62
26/02/2021,,1728,26,3811,15010,
1/3/2021,339085,1723,27,3902,15328,197.05
2/3/2021,333644,1733,27,3870,15277,197.32
3/3/2021,338912,1715,26,3820,15199,198.32
4/3/2021,334644,1700,25,3768,14959,198.27
5/3/2021,331017,1698,25,3842,15252,198.34
8/3/2021,334754,1678,25,3821,15288,198.576
9/3/2021,330169,1717,26,3875,15376,198.682
10/3/2021,335505,1722,26,3899,15522,198.662
11/3/2021,,1722,26,3939,15648,
12/3/2021,338545,1720,26,3943,15715,198.874
15/03/2021,338400,1729,26,3969,15776,198.964
16/03/2021,340741,1731,26,3963,15669,200.06
17/03/2021,344030,1727,26,3974,15731,201.75
18/03/2021,346092,1732,26,3915,15589,201.5005
19/03/2021,344866,1741,26,3913,15562,200.19
22/03/2021,343119,1738,26,3941,15552,200.0401
23/03/2021,342626,1725,25,3911,15347,200.8635
24/03/2021,344407,1733,25,3889,15277,201.1935
25/03/2021,343450,1725,25,3910,15410,201.01
26/03/2021,342722,1732,25,3975,15683,201.6
29/03/2021,343310,1712,25,3971,15612,201.77
30/03/2021,340840,1684,24,3959,15626,201.93
31/03/2021,334621,1714,25,3973,15602,202.04
1/4/2021,340553,1727,25,4020,15752,202.1
2/4/2021,,1738,25,3979,15655,
5/4/2021,344128,1727,25,4078,15870,201.95
6/4/2021,346338,1742,25,4074,15878,202.7
7/4/2021,345641,1740,25,4080,15839,202.88
8/4/2021,347091,1757,26,4097,15887,203.5
9/4/2021,350479,1743,25,4129,15956,203.59
12/4/2021,347700,1731,25,4128,15977,203.73
13/04/2021,,1746,25,4142,15962,
14/04/2021,,1735,26,4125,16000,
15/04/2021,347189,1765,26,4170,16117,204.628
16/04/2021,352004,1779,26,4185,16186,201.28
19/04/2021,345536,1769,26,4163,16108,191.97
20/04/2021,339686,1777,26,4135,15945,195.2145
21/04/2021,341737,1792,27,4173,16122,200.9
22/04/2021,344572,1781,26,4135,16031,199.3925
23/04/2021,343222,1777,26,4180,16206,198.4895
26/04/2021,,1779,26,4188,16241,
27/04/2021,350522,1778,26,4187,16273,199.4185
28/04/2021,349949,1773,26,4183,16322,199.52
29/04/2021,357042,1768,26,4211,16376,199.87
30/04/2021,352778,1767,26,4181,16219,199.87
3/5/2021,353235,1791,27,4193,16325,199.89
4/5/2021,357620,1776,27,4165,16289,199.93
5/5/2021,355432,1784,27,4168,16348,199.941
6/5/2021,356564,1816,27,4202,16460,201.8788
7/5/2021,362343,1831,27,4233,16590,201.8988
10/5/2021,365444,1838,27,4188,16517,201.948
11/5/2021,366460,1836,28,4152,16356,201.948
12/5/2021,365269,1823,27,4063,16043,201.948
13/05/2021,363498,1824,27,4113,16182,202.282
14/05/2021,,1838,27,4174,16415,
17/05/2021,369108,1868,28,4163,16423,202.8977
18/05/2021,373831,1868,28,4128,16338,202.8494
19/05/2021,372746,1881,28,4116,16233,202.8796
20/05/2021,373837,1882,28,4159,16350,202.8796
21/05/2021,374244,1877,27,4156,16375,202.8796
24/05/2021,376611,1885,28,4197,16465,202.8896
25/05/2021,374206,1898,28,4188,16390,202.8896
26/05/2021,,1901,28,4196,16452,
27/05/2021,,1896,28,4201,16532,
28/05/2021,378189,1903,28,4204,16556,202.8896
31/05/2021,380914,1893,28,4197,16479,202.8896
1/6/2021,381609,1903,28,4202,16643,202.8877
2/6/2021,378929,1908,28,4208,16674,202.8896
3/6/2021,380329,1871,27,4193,16632,202.8896
4/6/2021,372009,1890,28,4230,16709,202.8896
7/6/2021,376683,1897,28,4227,16709,202.8896
8/6/2021,378980,1892,28,4227,16685,202.8877
9/6/2021,378138,1893,28,4220,16620,202.8896
10/6/2021,376639,1894,28,4239,16651,202.8896
11/6/2021,379545,1877,28,4247,16695,202.8896
14/06/2021,372952,1864,28,4255,16662,202.8896
15/06/2021,371488,1855,28,4247,16656,202.8896
16/06/2021,370517,1860,28,4224,16543,202.8896
17/06/2021,364302,1774,26,4222,16412,202.8896
18/06/2021,356491,1768,26,4166,16144,202.8896
21/06/2021,354656,1782,26,4225,16412,202.8896
22/06/2021,356845,1776,26,4246,16449,202.8896
23/06/2021,355878,1782,26,4242,16438,202.8977
24/06/2021,,1776,26,4266,16559,
25/06/2021,355611,1777,26,4281,16659,202.8977
28/06/2021,354673,1780,26,4291,16574,202.8977
29/06/2021,354898,1763,26,4292,16548,202.8977
30/06/2021,354897,1771,26,4298,16555,202.8977
1/7/2021,355857,1776,26,4320,16641,202.8977
2/7/2021,356517,1783,26,4352,16675,202.8977
5/7/2021,357520,1804,26,4310,16598,202.8977
6/7/2021,359413,1794,26,4344,16543,202.8977
7/7/2021,360092,1802,26,4358,16559,202.8977
