date,gld_price_lkr,gold_price_usd,silver_price,s&p_500,ny_stock_ex_rate,selling_exchange_rates
28/12/2022,657493,1808,24,3783,15037,371.6168
29/12/2022,656701,1820,24,3849,15241,371.6168
30/12/2022,659753,1820,24,3840,15184,371.6068
2/1/2023,662293,1854,24,3828,15153,371.6068
3/1/2023,665078,1840,24,3824,15154,371.5921
4/1/2023,670070,1853,24,3853,15350,371.5724
5/1/2023,673466,1835,23,3808,15225,371.5724
6/1/2023,,1864,24,3895,15540,
9/1/2023,681634,1873,24,3892,15514,371.5491
10/1/2023,678500,1872,24,3919,15608,371.3989
11/1/2023,679383,1875,23,3970,15749,371.3646
12/1/2023,681960,1896,24,3983,15860,371.4609
13/01/2023,687493,1918,24,3999,15918,371.4665
16/01/2023,,1919,24,3953,15730,
17/01/2023,692025,1907,24,3991,15884,371.4781
18/01/2023,691197,1904,24,3929,15649,371.4781
19/01/2023,689535,1922,24,3899,15570,371.3916
20/01/2023,699496,1926,24,3973,15778,371.3915
23/01/2023,700546,1927,23,4020,15880,371.3845
24/01/2023,700752,1934,24,4017,15868,371.3909
25/01/2023,702391,1941,24,4016,15889,371.3909
26/01/2023,704726,1929,24,4060,15986,371.3887
27/01/2023,698313,1929,24,4071,15963,371.3887
30/01/2023,697208,1923,24,4018,15819,371.3035
31/01/2023,697239,1930,24,4077,16036,371.3887
1/2/2023,697268,1928,24,4119,16121,371.3942
2/2/2023,707335,1916,24,4180,16123,371.0331
3/2/2023,693599,1863,22,4136,15999,370.3529
6/2/2023,678528,1866,22,4111,15895,370.1832
7/2/2023,678040,1872,22,4164,16022,370.2611
8/2/2023,679312,1877,22,4118,15935,370.3547
9/2/2023,680194,1866,22,4082,15829,370.2786
10/2/2023,673992,1863,22,4090,15911,370.2484
13/02/2023,673560,1852,22,4137,16052,369.9592
14/02/2023,672163,1854,22,4136,16025,369.9523
15/02/2023,672201,1834,22,4148,16016,369.8892
16/02/2023,666552,1842,22,4090,15874,369.8164
17/02/2023,662149,1840,22,4079,15840,369.6666
20/02/2023,667015,1824,22,4118,15961,369.5636
21/02/2023,666880,1833,22,3997,15573,369.3116
22/02/2023,664090,1832,22,3991,15531,368.6063
23/02/2023,661194,1818,21,4012,15585,368.5292
24/02/2023,661724,1809,21,3970,15464,368.7702
27/02/2023,657461,1817,21,3982,15493,367.9284
28/02/2023,657646,1829,21,3970,15429,366.9212
1/3/2023,655377,1838,21,3951,15436,362.9543
2/3/2023,648887,1834,21,3981,15525,356.7393
3/3/2023,637010,1848,21,4046,15721,348.0322
6/3/2023,,1848,21,4048,15694,
7/3/2023,624541,1814,20,3986,15439,335.7502
8/3/2023,591800,1813,20,3992,15441,331.0583
9/3/2023,579591,1829,20,3918,15141,325.5218
10/3/2023,583175,1862,20,3862,14894,328.9042
13/03/2023,600795,1912,22,3856,14764,328.8699
14/03/2023,615387,1906,22,3919,14945,335.6887
15/03/2023,622995,1927,22,3892,14663,344.6634
16/03/2023,644344,1919,22,3960,14831,346.3312
17/03/2023,648209,1970,22,3917,14599,350.2275
20/03/2023,662084,1979,23,3952,14778,349.8726
21/03/2023,663595,1938,22,4003,14986,334.9328
22/03/2023,624632,1947,23,3937,14741,330.1625
23/03/2023,626798,1994,23,3949,14693,328.6083
24/03/2023,634624,1982,23,3971,14759,331.3791
27/03/2023,633312,1952,23,3978,14895,332.5841
28/03/2023,627555,1972,23,3971,14949,332.8711
29/03/2023,635280,1966,23,4028,15124,333.4925
30/03/2023,638309,1980,24,4051,15201,335.411
31/03/2023,649006,1969,24,4109,15375,336.0123
3/4/2023,641145,1984,24,4125,15488,334.2094
4/4/2023,641220,2022,25,4101,15374,330.5038
5/4/2023,,2021,25,4090,15368,
6/4/2023,645929,2012,25,4105,15379,330.5619
7/4/2023,,2005,25,4106,15397,
10/4/2023,637806,1989,25,4109,15427,327.7229
11/4/2023,638641,2005,25,4109,15521,327.6693
12/4/2023,645033,2011,25,4092,15501,327.1787
13/04/2023,,2041,26,4146,15631,
14/04/2023,,2002,25,4138,15602,
17/04/2023,640709,1994,25,4151,15668,327.0215
18/04/2023,639092,2007,25,4155,15685,327.4612
19/04/2023,643259,1995,25,4155,15654,327.7272
20/04/2023,639313,2008,25,4130,15583,327.8921
21/04/2023,643079,1980,25,4134,15579,328.5152
24/04/2023,637498,1989,25,4137,15607,328.4847
25/04/2023,642565,1994,25,4072,15364,328.5407
26/04/2023,642879,1986,25,4056,15229,328.6723
27/04/2023,642715,1990,25,4135,15432,328.7701
28/04/2023,639889,1990,25,4169,15546,328.7514
1/5/2023,,1983,25,4168,15536,
2/5/2023,636986,2014,25,4120,15315,328.4158
3/5/2023,647542,2029,25,4091,15234,327.9562
4/5/2023,653818,2048,26,4061,15118,326.6292
5/5/2023,,2017,26,4136,15381,
8/5/2023,645062,2026,26,4138,15391,326.3198
9/5/2023,644578,2036,26,4119,15353,325.9516
10/5/2023,646413,2031,25,4138,15349,324.8084
11/5/2023,643441,2015,24,4131,15263,322.7018
12/5/2023,631042,2015,24,4124,15246,320.0375
15/05/2023,630846,2018,24,4136,15323,319.9619
16/05/2023,630512,1988,24,4110,15129,318.7965
17/05/2023,618175,1981,24,4159,15314,316.188
18/05/2023,610045,1957,24,4198,15345,312.3715
19/05/2023,598983,1979,24,4192,15324,314.0848
22/05/2023,607553,1975,24,4193,15319,313.8244
23/05/2023,600234,1972,23,4146,15172,312.3359
24/05/2023,601719,1963,23,4115,15023,311.2316
25/05/2023,593511,1943,23,4151,14976,310.9562
26/05/2023,590204,1944,23,4205,15079,308.5472
29/05/2023,582001,1962,23,4162,15114,303.264
30/05/2023,577207,1958,23,4206,14995,303.9548
31/05/2023,577375,1964,23,4180,14887,300.921
1/6/2023,574645,1978,24,4221,15031,297.2316
2/6/2023,578396,1952,24,4282,15345,300.3287
5/6/2023,568579,1958,24,4274,15275,298.8583
6/6/2023,572134,1966,24,4284,15392,297.9434
7/6/2023,572184,1943,23,4268,15470,298.4378
8/6/2023,566075,1964,24,4294,15503,298.9191
9/6/2023,575799,1962,24,4299,15500,301.1291
12/6/2023,579452,1955,24,4339,15548,303.7392
13/06/2023,588065,1945,24,4369,15668,309.2237
14/06/2023,590590,1955,24,4373,15643,318.9974
15/06/2023,596714,1958,24,4426,15826,328.9272
16/06/2023,614583,1958,24,4410,15795,319.66
19/06/2023,604531,1923,24,4383,15696,315.1281
20/06/2023,596678,1936,23,4389,15649,314.3802
21/06/2023,593437,1933,23,4366,15657,314.4947
22/06/2023,593182,1913,22,4382,15601,314.963
23/06/2023,586842,1919,22,4348,15469,314.365
26/06/2023,591173,1924,23,4329,15519,314.9261
27/06/2023,593859,1914,23,4378,15647,316.7243
28/06/2023,591252,1912,23,4377,15617,316.6728
29/06/2023,,1909,23,4396,15737,
30/06/2023,,1921,23,4450,15876,
3/7/2023,,1922,23,4456,15919,
4/7/2023,592070,1929,23,4412,15759,314.9879
5/7/2023,589247,1920,23,4447,15836,313.668
6/7/2023,589149,1909,23,4412,15642,315.1016
7/7/2023,588837,1926,23,4399,15672,317.0914
10/7/2023,599540,1925,23,4410,15749,318.2388
11/7/2023,602732,1931,23,4439,15897,319.3229
12/7/2023,609247,1956,24,4472,16011,320.6817
13/07/2023,616479,1959,25,4510,16107,321.8765
14/07/2023,620861,1960,25,4505,16040,324.6783
17/07/2023,622778,1952,25,4523,16054,327.1641
18/07/2023,631882,1977,25,4555,16157,328.6534
19/07/2023,636970,1978,25,4566,16231,328.9299
20/07/2023,643807,1968,25,4535,16264,330.2942
21/07/2023,640994,1964,25,4536,16289,331.9854
24/07/2023,640968,1960,24,4555,16369,334.5576
25/07/2023,645792,1962,25,4567,16385,336.1624
26/07/2023,646609,1969,25,4567,16418,337.1774
27/07/2023,652311,1945,24,4537,16271,335.8919
28/07/2023,642198,1960,24,4582,16363,335.6506
31/07/2023,644691,1971,25,4589,16427,335.4036
1/8/2023,,1941,24,4577,16357,
2/8/2023,632562,1937,24,4513,16175,322.6856
3/8/2023,608656,1932,24,4502,16125,322.2084
4/8/2023,616282,1940,24,4478,16071,326.658
7/8/2023,618096,1934,23,4518,16208,328.5784
8/8/2023,621691,1924,23,4499,16176,328.6038
9/8/2023,619317,1915,23,4468,16136,327.522
10/8/2023,614618,1914,23,4469,16135,326.7861
11/8/2023,612606,1913,23,4464,16143,326.9576
14/08/2023,611563,1911,23,4490,16116,326.8853
15/08/2023,611784,1903,23,4438,15911,328.0221
16/08/2023,611544,1896,22,4404,15818,327.8235
17/08/2023,607897,1884,23,4370,15734,327.8749
18/08/2023,609570,1886,23,4370,15750,329.4982
21/08/2023,610936,1893,23,4400,15746,329.597
22/08/2023,614262,1896,23,4388,15690,329.7506
23/08/2023,615817,1919,24,4436,15823,329.8616
24/08/2023,621730,1918,24,4376,15683,329.8198
25/08/2023,621155,1911,24,4406,15767,329.6392
28/08/2023,620462,1918,24,4433,15880,329.5226
29/08/2023,622422,1937,25,4498,16041,329.5445
30/08/2023,,1944,25,4515,16074,
31/08/2023,628176,1938,24,4508,16000,326.9396
1/9/2023,620753,1940,24,4516,16092,325.8676
4/9/2023,620910,1919,24,4494,16017,326.2837
5/9/2023,620214,1926,24,4497,15942,326.653
6/9/2023,620037,1918,23,4465,15892,327.5101
7/9/2023,617860,1918,23,4451,15864,328.0638
8/9/2023,620917,1918,23,4457,15879,327.9947
11/9/2023,618743,1923,23,4487,15949,327.6048
12/9/2023,619557,1911,23,4462,15954,327.9261
13/09/2023,615837,1909,23,4467,15927,328.5308
14/09/2023,617504,1910,23,4505,16089,329.5704
15/09/2023,619360,1924,23,4450,15974,328.8809
18/09/2023,623255,1932,23,4454,15953,328.8363
19/09/2023,625795,1932,23,4444,15929,329.6034
20/09/2023,625529,1946,24,4402,15860,329.9359
21/09/2023,625596,1919,23,4330,15602,329.9016
22/09/2023,624960,1925,24,4320,15570,329.5513
25/09/2023,623863,1917,23,4337,15594,329.7702
26/09/2023,621327,1900,23,4274,15382,329.8014
27/09/2023,616774,1872,22,4275,15395,328.9001
28/09/2023,,1860,23,4300,15478,
29/09/2023,,1848,22,4288,15398,
2/10/2023,596256,1830,21,4288,15230,329.0139
3/10/2023,588345,1825,21,4229,15043,329.0008
4/10/2023,589802,1819,21,4264,15071,328.9126
5/10/2023,591308,1817,21,4258,15073,328.9081
6/10/2023,590268,1830,22,4309,15214,328.9108
9/10/2023,599462,1850,22,4336,15318,328.935
10/10/2023,603309,1861,22,4358,15450,328.7491
11/10/2023,602491,1873,22,4377,15488,328.7869
12/10/2023,607521,1869,22,4350,15330,328.8289
13/10/2023,606522,1927,23,4328,15324,328.8218
16/10/2023,622204,1921,23,4374,15485,328.8534
17/10/2023,619551,1923,23,4373,15541,329.4189
18/10/2023,629486,1955,23,4315,15325,329.543
19/10/2023,632193,1968,23,4278,15196,329.8115
20/10/2023,642993,1983,23,4224,15033,330.4162
23/10/2023,640608,1976,23,4217,14946,331.005
24/10/2023,645147,1975,23,4248,15026,331.3956
25/10/2023,646099,1984,23,4187,14914,332.565
26/10/2023,648344,1987,23,4137,14859,331.9361
27/10/2023,649028,1989,23,4117,14676,332.0178
30/10/2023,655616,1996,23,4167,14826,332.4987
31/10/2023,653370,1985,23,4194,14919,332.5096
1/11/2023,648250,1979,23,4238,15003,332.6334
2/11/2023,651360,1986,23,4318,15333,333.4354
3/11/2023,653498,1992,23,4358,15475,334.138
6/11/2023,654926,1982,23,4366,15441,334.4083
7/11/2023,647095,1967,23,4378,15388,331.9647
8/11/2023,644285,1952,23,4383,15352,332.7923
9/11/2023,640940,1964,23,4347,15235,333.6374
10/11/2023,643043,1933,22,4415,15388,332.776
13/11/2023,634736,1946,22,4412,15403,332.478
14/11/2023,635899,1962,23,4496,15733,332.366
15/11/2023,642820,1960,23,4503,15765,332.9839
16/11/2023,644715,1984,24,4508,15717,333.6636
17/11/2023,651060,1982,24,4514,15813,333.2524
20/11/2023,650240,1978,24,4547,15882,333.2023
21/11/2023,652983,1999,24,4538,15862,333.1445
22/11/2023,655518,1991,24,4557,15908,333.6609
23/11/2023,654996,1992,24,4533,15836,333.7081
24/11/2023,654977,2002,24,4559,15984,333.7448
27/11/2023,660576,2012,25,4550,15931,333.7056
28/11/2023,663516,2040,25,4555,15929,334.1117
29/11/2023,674404,2047,25,4551,15963,334.2295
30/11/2023,672446,2038,25,4568,16089,333.4564
1/12/2023,669046,2071,26,4595,16264,333.2383
4/12/2023,684042,2024,25,4570,16233,333.3213
5/12/2023,667296,2019,24,4567,16123,333.2059
6/12/2023,662993,2031,24,4549,16092,333.0711
7/12/2023,663821,2030,24,4586,16137,331.7826
8/12/2023,663700,1998,23,4604,16208,331.6615
11/12/2023,653175,1978,23,4622,16274,332.3764
12/12/2023,648814,1978,23,4644,16286,332.328
13/12/2023,647142,1982,23,4707,16561,331.6167
14/12/2023,664243,2030,24,4720,16724,331.4772
15/12/2023,665308,2021,24,4719,16610,331.5038
18/12/2023,660761,2026,24,4741,16657,331.6089
19/12/2023,662250,2038,24,4768,16798,331.6405
20/12/2023,666506,2035,24,4698,16535,331.7038
21/12/2023,665454,2039,24,4747,16725,331.4997
22/12/2023,669041,2057,24,4755,16770,331.3071
25/12/2023,,2065,24,4742,16697,
26/12/2023,,2058,24,4775,16859,
27/12/2023,672800,2082,24,4782,16898,330.3827
28/12/2023,676498,2074,24,4783,16891,328.8731
29/12/2023,670390,2062,24,4770,16853,328.7784
1/1/2024,668309,2046,24,4770,16840,328.7784
2/1/2024,667794,2064,24,4743,16842,326.8587
3/1/2024,662662,2034,23,4705,16719,326.6933
4/1/2024,658732,2042,23,4689,16716,327.3976
5/1/2024,660099,2042,23,4697,16758,327.461
8/1/2024,658781,2027,23,4764,16885,327.4478
9/1/2024,656207,2026,23,4757,16773,327.4005
10/1/2024,655448,2022,23,4783,16819,327.5427
11/1/2024,655795,2014,23,4780,16781,327.6431
12/1/2024,656572,2047,23,4784,16800,327.3582
15/01/2024,,2027,23,4774,16812,
16/01/2024,660648,2026,23,4766,16639,327.189
17/01/2024,653194,2003,23,4739,16523,326.4384
18/01/2024,645426,2019,23,4781,16616,325.6904
19/01/2024,649352,2027,23,4840,16730,326.06
22/01/2024,650631,2020,22,4850,16779,325.3792
23/01/2024,647486,2024,22,4865,16801,324.8287
24/01/2024,648183,2014,23,4869,16769,324.7787
25/01/2024,,2017,23,4894,16890,
26/01/2024,645897,2017,23,4891,16949,323.1775
29/01/2024,642418,2025,23,4928,17041,322.7716
30/01/2024,645669,2032,23,4925,17089,322.7398
31/01/2024,645453,2048,23,4846,16911,321.8542
1/2/2024,646985,2053,23,4906,17116,320.4082
2/2/2024,644641,2036,23,4959,17102,316.9979
5/2/2024,634114,2026,22,4943,17005,317.2528
6/2/2024,632432,2035,22,4954,17135,317.6567
7/2/2024,639170,2035,22,4995,17212,318.6869
8/2/2024,638077,2032,23,4998,17252,318.5839
9/2/2024,638049,2023,23,5027,17276,318.2311
12/2/2024,633125,2018,23,5022,17332,317.8272
13/02/2024,632582,1993,22,4953,17069,318.4655
14/02/2024,624292,1990,22,5001,17240,318.1678
15/02/2024,624100,2002,23,5030,17435,318.0679
16/02/2024,627419,2012,23,5006,17409,317.762
19/02/2024,631235,2003,23,5002,17297,317.2903
20/02/2024,630209,2028,23,4976,17340,317.1692
21/02/2024,632728,2022,23,4982,17383,316.8174
22/02/2024,631791,2020,23,5087,17565,316.0679
23/02/2024,,2039,23,5089,17616,
26/02/2024,631897,2029,23,5070,17567,315.8517
27/02/2024,631775,2034,23,5078,17598,315.7299
28/02/2024,631566,2033,22,5070,17574,315.2986
29/02/2024,631624,2046,23,5096,17607,314.8771
1/3/2024,633779,2087,23,5137,17728,314.2362
4/3/2024,643730,2118,24,5131,17749,313.4131
5/3/2024,650913,2134,24,5079,17669,312.6876
6/3/2024,654262,2150,24,5105,17801,312.6086
7/3/2024,660533,2158,24,5157,17928,312.4368
8/3/2024,,2179,24,5124,17890,
11/3/2024,669955,2183,25,5118,17864,311.9825
12/3/2024,669529,2160,24,5175,17974,311.45
13/03/2024,662200,2175,25,5165,18019,311.0041
14/03/2024,666025,2163,25,5150,17886,310.6428
15/03/2024,661047,2157,25,5117,17848,310.2053
18/03/2024,656909,2161,25,5149,17882,309.6749
19/03/2024,658503,2156,25,5179,17976,308.9065
20/03/2024,656230,2158,25,5225,18130,308.7249
21/03/2024,670995,2182,25,5242,18214,308.8069
22/03/2024,661297,2158,25,5234,18112,308.6902
25/03/2024,660444,2175,25,5218,18077,307.9921
26/03/2024,657416,2176,24.48,5203.58,18059,307.3326
27/03/2024,657504,2191,24.63,5248.49,18255,306.3453
28/03/2024,661225,2217,24.8,5254.35,18313,305.3339
29/03/2024,,,,,,
1/4/2024,678245,2237,24.95,5243.77,18216,305.1018
2/4/2024,674834,2261,25.8,5205.81,18108,304.9073
3/4/2024,684949,2294,26.94,5211.49,18147,304.6043
4/4/2024,689963,2289,27.14,5147.21,17982,304.5631
5/4/2024,681399,2326,27.4,5204.34,18122,304.2846
8/4/2024,696874,2332,27.71,5202.39,18154,303.8976
9/4/2024,700262,2344,27.89,5209.91,18171,303.4415
10/4/2024,701945,2330,27.96,5160.64,17947,303.3335
11/4/2024,,2355,28.18,5199.06,17915,
12/4/2024,,2356,28.25,5123.41,17639,
15/04/2024,705151,2366,28.65,5061.82,17507,303.2586
16/04/2024,711821,2391,28.32,5051.41,17414,303.5476
17/04/2024,715157,2372,28.35,5022.21,17403,305.1931
18/04/2024,713468,2382,28.33,5011.12,17388,306.4145
19/04/2024,725226,2398,28.81,4967.23,17459,306.5961
22/04/2024,717491,2332,27.21,5010.6,17602,306.4586
23/04/2024,,2328,27.33,5070.55,17793,
24/04/2024,699154,2325,27.32,5071.63,17758,305.393
25/04/2024,692993,2330,27.34,5048.42,17732,302.5848
26/04/2024,693732,2335,27.24,5099.96,17763,301.2928
29/04/2024,689518,2345,27.37,5116.17,17831,300.9597
30/04/2024,691795,2291,26.39,5035.69,17603,302.76
1/5/2024,,2300,26.49,5018.39,17576,
2/5/2024,691063,2299,26.58,5064.2,17699,302.3542
3/5/2024,682784,2299,26.44,5127.79,17798,301.9031
6/5/2024,687460,2322,27.37,5180.74,17964,302.304
7/5/2024,691983,2315,27.3,5187.7,17994,303.0127
8/5/2024,691862,2314,27.36,5187.67,17996,303.9272
9/5/2024,689893,2332,28.13,5214.08,18127,303.3789
10/5/2024,701531,2367,28.27,5222.68,18162,303.384
13/05/2024,704714,2336,28.22,5221.42,18134,303.7846
14/05/2024,702582,2353,,5246.68,18221,305.2385
15/05/2024,709219,2389,29.51,5308.15,18378,306.428
16/05/2024,722491,2380,29.67,5297.1,18317,307.0361
17/05/2024,717412,2412,31.05,5303.27,18388,305.1511
20/05/2024,729716,2434,32.21,5308.13,18336,304.5972
21/05/2024,725328,2422,31.87,5321.41,18338,304.3151
22/05/2024,726648,2389,31.3,5307.01,18237,304.4801
23/05/2024,,2335,30.28,5267.84,18028,
24/05/2024,,2333,30.33,5304.72,18111,
27/05/2024,701861,,,,,304.9953
28/05/2024,707029,2355,31.97,5306.04,18007,305.4195
29/05/2024,710894,2340,32.2,5266.95,17795,306.4442
30/05/2024,703860,2343,31.39,5235.48,17852,306.4863
31/05/2024,708485,2323,30.3,5277.51,18084,306.5863
3/6/2024,703082,2347,30.64,5283.4,18007,306.67
4/6/2024,708651,2326,29.49,5291.34,17934,306.8239
5/6/2024,705046,2354,29.95,5354.03,18046,306.8807
6/6/2024,715608,2370,31.25,5352.96,18067,307.0499
7/6/2024,717719,2305,29.33,5346.99,17986,307.4417
10/6/2024,695902,2308,29.77,5360.79,18038,307.5273
11/6/2024,697962,,29.13,5375.32,17919,308.0019
12/6/2024,702505,2331,30.18,5421.03,,308.2634
